N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
1,삼성전자,"61,000",400,-0.65%,100,"3,641,567","5,969,783",49.91,"6,640,405",9.90,13.92,
2,LG에너지솔루션,"571,000","3,000",+0.53%,500,"1,336,140","234,000",5.04,"186,417",232.68,10.68,
3,삼성바이오로직스,"903,000","7,000",+0.78%,"2,500","642,701","71,174",10.81,"31,619",122.59,8.21,
4,SK하이닉스,"85,100","1,800",-2.07%,"5,000","619,530","728,002",50.76,"1,427,680",6.68,16.84,
5,LG화학,"721,000","7,000",-0.96%,"5,000","508,971","70,592",48.09,"100,761",25.37,18.47,
6,삼성SDI,"725,000","5,000",+0.69%,"5,000","498,543","68,765",46.81,"224,081",29.73,8.45,
7,삼성전자우,"55,600",600,-1.07%,100,"457,525","822,887",71.72,"426,919",9.02,N/A,
8,현대차,"166,000","1,500",-0.90%,"5,000","354,689","213,668",29.03,"353,500",7.41,6.84,
9,NAVER,"185,000","3,000",-1.60%,100,"303,491","164,049",48.75,"438,055",32.59,106.72,
10,기아,"65,400",500,-0.76%,"5,000","265,108","405,363",36.14,"732,211",5.74,14.69,
11,POSCO홀딩스,"295,500","6,000",+2.07%,"5,000","249,908","84,571",51.83,"319,230",4.84,13.97,
12,카카오,"56,100","1,300",-2.26%,100,"249,833","445,336",26.91,"1,313,554",16.08,17.10,
13,셀트리온,"175,000","2,500",-1.41%,"1,000","246,409","140,805",21.45,"171,202",41.50,16.04,
14,삼성물산,"119,500",500,-0.42%,100,"223,330","186,887",16.81,"127,149",12.63,5.40,
15,KB금융,"50,400",600,-1.18%,"5,000","206,084","408,897",73.08,"586,822",4.46,9.80,
16,현대모비스,"209,500",500,+0.24%,"5,000","197,527","94,285",36.34,"73,705",8.27,6.87,
17,신한지주,"36,550",500,-1.35%,"5,000","187,477","512,934",61.55,"719,105",4.08,8.80,
18,포스코케미칼,"223,500",500,-0.22%,500,"173,130","77,463",8.61,"317,094",107.66,7.92,
19,SK이노베이션,"175,500","6,500",+3.85%,"5,000","162,277","92,466",25.96,"770,876",7.43,1.91,
20,SK,"210,000","2,000",+0.96%,200,"155,714","74,149",22.69,"108,345",4.55,10.19,
21,LG전자,"89,700",800,-0.88%,"5,000","146,792","163,648",26.56,"279,382",10.26,6.32,
22,삼성생명,"69,800",200,+0.29%,500,"139,600","200,000",13.44,"137,661",19.70,4.01,
23,LG,"85,000",800,+0.95%,"5,000","133,706","157,301",36.40,"110,957",6.19,12.36,
24,KT&G,"96,500","1,300",+1.37%,"5,000","132,487","137,292",43.27,"369,658",11.40,10.74,
